Age,Career_Level,Employment_Status,Income,Financial_Status,Location,Housing,Food,Transportation,Dependents,Education_Cost,Total_Invested_Amount,Emergency_Fund,Tax,Monthly_Savings,Expected_ROI,Healthcare_Cost,Debt,Cost_of_Living,Inflation_Rate,Retirement_Age,Life_Expectancy,Savings_Rate,Desired_Expenses
43,Entry-Level,Employed,2223,Low Income,Urban,1111.5,288.51,177.84,3,4933.614208501089,374.6,8191.72,277.65,367.5,0.06663927857133108,177.84000000000003,89.91,1755.69,2.19,65,85,397.38,777.07
37,Entry-Level,Employed,2418,Low Income,Urban,1209.0,279.73,193.44,0,0.0,778.37,8197.23,260.98,474.85,0.07020197462414546,193.44000000000003,653.3,1875.6100000000001,2.98,65,80,621.56,946.44
25,Entry-Level,Unemployed,4553,Middle Income,Rural,1365.9,356.8,182.12,1,6639.543574625195,780.23,7072.34,598.59,2049.59,0.06477572882556656,227.65,1345.74,2132.4700000000003,3.13,65,87,1040.12,3532.4
31,Entry-Level,Unemployed,3460,Low Income,Urban,1730.0,544.23,276.8,2,2833.821344513634,540.05,11504.66,299.8,609.17,0.09627097183364502,346.0,886.57,2897.03,2.13,65,81,473.5,2159.9
25,Mid-Career,Employed,9544,Middle Income,Suburban,3817.6,1710.9,572.64,0,0.0,1063.72,35256.31,1334.36,2108.5,0.09763741341266079,381.76,2658.06,6482.900000000001,2.06,65,87,2004.25,9027.65
47,Mid-Career,Employed,7584,Middle Income,Suburban,3033.6,1332.84,455.04,4,1831.1980468079378,4374.73,26253.07,776.89,1985.63,0.10139895478139357,606.72,1059.79,5428.2,2.36,65,81,1149.67,5632.36
35,Entry-Level,Employed,3529,Low Income,Suburban,1411.6,674.03,211.74,2,7904.739825737447,969.93,9119.57,353.96,877.67,0.07708738640698842,282.32,979.3,2579.69,1.96,65,79,345.84,1991.45
57,Mid-Career,Employed,10314,High Income,Rural,3094.2,1714.36,412.56,2,6967.267304872039,1108.17,31048.92,1214.2,3878.68,0.052246387312151754,825.1200000000001,469.26,6046.24,2.56,65,89,1839.66,4968.03
34,Entry-Level,Unemployed,2983,Low Income,Urban,1491.5,367.99,238.64,2,3023.7608690355837,554.59,10754.72,383.79,501.08,0.029917911849362114,298.3,664.82,2396.4300000000003,2.4,65,88,765.74,1808.07
26,Entry-Level,Employed,3596,Low Income,Urban,1798.0,690.37,287.68,0,0.0,325.58,8848.24,443.31,376.64,0.1520428837937073,143.84,1026.03,2919.89,2.68,65,87,984.29,2431.49
22,Entry-Level,Employed,3037,Low Income,Rural,911.1,249.41,121.48,0,0.0,290.59,3981.2,319.33,1435.68,0.06788595270939787,121.48,849.76,1403.47,3.2,65,82,529.85,2221.99
22,Mid-Career,Employed,6196,Middle Income,Urban,3098.0,650.37,495.68,0,0.0,-66.86,14876.35,680.81,1271.14,0.10980732592717525,247.84000000000003,1166.01,4491.89,2.91,65,89,1150.78,3139.2
22,Mid-Career,Employed,6572,Middle Income,Suburban,2628.8,668.96,394.32,0,0.0,592.98,19138.15,639.71,2240.21,0.09695776510834409,262.88000000000005,1513.25,3954.9600000000005,2.74,65,80,1773.17,5775.46
38,Entry-Level,Employed,3722,Low Income,Suburban,1488.8,759.3,223.32,3,4747.979502013764,1024.7,8776.55,429.91,820.67,0.094758095236705,297.76,450.6,2769.1800000000003,1.52,65,89,869.21,2022.34
41,Mid-Career,Employed,6063,Middle Income,Suburban,2425.2,1195.26,363.78,3,3156.87849216734,651.18,18066.38,857.92,1220.84,0.0404980228842612,485.03999999999996,927.23,4469.28,2.72,65,88,1360.98,4410.72
22,Mid-Career,Unemployed,11267,High Income,Rural,3380.1,1964.57,450.68,0,0.0,703.78,19007.48,1351.08,4120.57,0.15013787380910903,563.35,2113.03,6358.700000000001,3.36,65,78,2331.97,6765.94
45,Entry-Level,Employed,2605,Low Income,Rural,781.5,530.37,104.2,2,1331.457313864069,668.45,8160.33,357.38,831.55,0.09055963147279023,208.4,227.15,1624.47,0.99,65,79,615.4,1294.3
29,Mid-Career,Employed,6939,Middle Income,Suburban,2775.6,735.78,416.34,1,-435.34429672679244,181.57,15836.1,1034.66,1976.62,0.11965234052891578,277.56,1097.23,4205.280000000001,2.84,65,88,1377.44,1772.64
36,Entry-Level,Employed,3060,Low Income,Urban,1530.0,512.34,244.8,3,3472.284819758202,1309.2,13092.5,331.21,441.65,0.06864240487967539,244.8,740.97,2531.9400000000005,2.42,65,89,846.02,1114.36
54,Entry-Level,Unemployed,4946,Middle Income,Rural,1483.8,710.94,197.84,0,0.0,988.7,13959.81,575.06,1978.36,0.03217133489702509,494.6,150.57,2887.18,2.08,65,84,959.64,3593.32
45,Late-Career,Employed,15982,High Income,Urban,7991.0,3074.04,1278.56,1,2548.3865018479164,6445.84,37257.75,2611.84,1026.56,0.05122950988790036,1278.5600000000002,827.92,13622.16,2.9,65,78,3088.2,10593.68
31,Late-Career,Employed,20000,High Income,Urban,10000.0,2884.78,1600.0,4,5872.859039117733,876.12,63623.03,2977.74,2537.48,0.13226171663249242,1600.0,4745.21,16084.78,3.35,65,89,1944.47,12777.96
24,Late-Career,Employed,7572,Middle Income,Rural,2271.6,990.06,302.88,0,0.0,900.33,10957.28,655.37,3352.09,0.13331499596942153,302.88000000000005,2101.61,3867.42,2.89,65,79,1915.0,5929.81
22,Entry-Level,Employed,3767,Low Income,Urban,1883.5,666.93,301.36,2,890.5910900681602,840.02,16329.57,481.21,434.0,0.1324761102604873,150.68,1044.8,3002.47,2.31,65,87,572.07,1518.54
26,Entry-Level,Employed,4389,Middle Income,Urban,2194.5,850.63,351.12,0,0.0,610.4,15470.67,526.73,466.02,0.08019556397990572,175.56,517.7,3571.81,2.03,65,84,357.7,2103.19
32,Mid-Career,Employed,7746,Middle Income,Urban,3873.0,903.05,619.68,1,2834.814849297419,439.86,17400.32,1057.55,1292.72,0.09494987097288428,619.6800000000001,2256.34,6015.410000000001,2.57,65,78,1479.92,3790.47
23,Mid-Career,Employed,10696,High Income,Rural,3208.8,1571.74,427.84,0,0.0,1676.93,17348.23,1124.15,4363.47,0.10718400966341306,427.84,4264.37,5636.22,2.94,65,84,1958.29,3734.91
33,Entry-Level,Employed,2982,Low Income,Suburban,1192.8,289.49,178.92,0,0.0,250.98,6894.9,307.77,1013.02,0.058874738655129835,238.56,553.18,1899.77,2.31,65,85,663.47,1282.63
35,Mid-Career,Employed,11728,High Income,Suburban,4691.2,294.34,703.68,2,5736.188473629796,3643.3,33115.26,1248.78,4790.0,0.03829716913675334,938.24,2520.47,6627.46,2.35,65,88,2726.25,4563.66
32,Entry-Level,Employed,5798,Middle Income,Urban,2899.0,927.81,463.84,3,6933.833925016507,813.66,21791.04,629.44,877.91,0.09963170399493473,463.84,876.56,4754.49,3.91,65,79,919.64,1823.59
27,Late-Career,Employed,13185,High Income,Suburban,5274.0,2379.17,791.1,0,0.0,-621.77,47312.03,1797.2,2943.53,0.10851783662814166,527.4,1408.62,8971.67,3.04,65,81,4430.1,5477.86
37,Entry-Level,Employed,3054,Low Income,Suburban,1221.6,498.12,183.24,2,5499.420840368637,976.57,7800.94,294.33,856.71,0.0704846035990406,244.32,776.2,2147.2799999999997,3.08,65,84,580.06,1649.55
40,Mid-Career,Employed,11860,High Income,Urban,5930.0,622.91,948.8,1,887.00585874948,567.38,23477.66,1275.52,3082.77,0.10340904357889112,948.8000000000001,1094.96,8450.51,1.77,65,78,1370.9,9702.25
22,Entry-Level,Unemployed,5079,Middle Income,Urban,2539.5,672.75,406.32,0,0.0,546.41,21432.62,427.75,1032.68,0.08187910343575688,253.95,1852.23,3872.52,2.15,65,83,1417.76,2016.94
51,Mid-Career,Employed,5931,Middle Income,Urban,2965.5,231.8,474.48,2,5094.552817118925,2011.69,11204.51,831.18,1428.04,0.03255243843215611,474.48,816.31,4146.26,2.54,65,82,1402.21,4217.06
33,Mid-Career,Employed,6239,Middle Income,Rural,1871.7,1363.13,249.56,1,4726.874560379757,426.25,20359.13,907.28,1847.33,0.12020286438261081,499.12,1325.18,3983.5099999999998,2.0,65,88,1375.34,3638.44
35,Entry-Level,Employed,3218,Low Income,Suburban,1287.2,307.95,193.08,1,2968.873822259412,1252.35,7342.53,365.11,1064.66,0.0935611120090519,257.44,596.45,2045.67,3.3,65,83,573.56,1980.83
43,Late-Career,Employed,8277,Middle Income,Rural,2483.1,1761.1,331.08,1,-2908.4978824840628,1926.56,13864.34,943.92,2757.8,0.10796898571176139,662.1600000000001,1205.53,5237.44,3.21,65,85,1674.36,4732.11
37,Mid-Career,Employed,4744,Middle Income,Urban,2372.0,935.96,379.52,3,1716.5457126957413,1582.84,18686.2,612.28,444.24,0.070621702619519,379.52,689.75,4067.0,2.23,65,88,434.41,1290.25
46,Late-Career,Employed,9979,Middle Income,Suburban,3991.6,1047.5,598.74,1,1748.167964630796,1430.03,33497.91,1491.76,2849.4,0.040146819690968366,798.32,831.15,6436.16,3.39,65,88,1860.56,3914.27
38,Late-Career,Employed,11161,High Income,Suburban,4464.4,1042.0,669.66,1,1043.4901238790453,3802.65,36419.47,1430.53,3554.41,0.04902389954445663,892.88,2395.5,7068.94,2.5,65,78,3603.21,7098.81
27,Mid-Career,Employed,7395,Middle Income,Suburban,2958.0,1238.8,443.7,1,3244.4860090941324,1065.77,16161.98,784.23,1970.27,0.12114368327316961,295.8,1784.55,4936.3,3.79,65,80,1126.13,4118.49
39,Late-Career,Employed,16171,High Income,Rural,4851.3,1742.97,646.84,2,2162.0731089575306,3242.52,25660.64,1416.96,7512.93,0.06912996070501291,1293.68,2782.5,8534.79,2.57,65,88,3377.13,4902.15
22,Entry-Level,Employed,5050,Middle Income,Urban,2525.0,783.38,404.0,0,0.0,1003.45,17435.63,493.37,844.25,0.10882049197919894,202.0,1398.04,3914.38,2.79,65,86,584.56,2612.77
36,Entry-Level,Employed,2501,Low Income,Urban,1250.5,314.77,200.08,3,882.3997035043603,572.73,8671.25,303.78,431.87,0.06920395362460081,200.08,452.88,1965.4299999999998,3.2,65,89,435.09,1597.77
34,Entry-Level,Unemployed,4484,Middle Income,Suburban,1793.6,273.26,269.04,2,1568.9740290295426,406.42,12189.32,479.31,1668.79,0.06866000408106271,448.4,968.56,2784.2999999999997,3.14,65,85,613.14,1622.88
32,Entry-Level,Unemployed,3286,Low Income,Suburban,1314.4,126.43,197.16,2,5242.998423699857,498.27,5803.65,407.13,1240.88,0.11364627401991531,328.6,885.25,1966.5900000000001,2.76,65,81,727.41,1611.8
33,Entry-Level,Employed,3450,Low Income,Suburban,1380.0,556.6,207.0,3,1677.9498907450118,595.79,12597.98,375.85,930.55,0.09967182844119743,276.0,711.1,2419.6,2.43,65,88,727.23,2683.25
22,Entry-Level,Unemployed,4174,Middle Income,Urban,2087.0,508.9,333.92,1,1970.1225871334552,317.23,14403.63,412.55,831.63,0.11319528659418485,208.7,1084.0,3138.52,2.76,65,87,562.87,2664.67
28,Late-Career,Employed,9386,Middle Income,Suburban,3754.4,1148.33,563.16,0,0.0,599.97,30287.27,905.37,3014.74,0.1502927025353222,375.44000000000005,1315.38,5841.33,2.09,65,86,1918.63,7396.16
36,Entry-Level,Employed,3882,Low Income,Urban,1941.0,717.37,310.56,4,3677.9870276188394,478.1,13717.04,587.14,325.93,0.07069407899272395,310.56,781.58,3279.49,2.58,65,84,800.42,1915.95
36,Entry-Level,Employed,3666,Low Income,Urban,1833.0,764.99,293.28,3,3912.4989770570655,1464.63,12267.17,505.1,269.63,0.08059133847645503,293.28000000000003,978.65,3184.5499999999997,1.95,65,79,765.26,2611.12
22,Mid-Career,Employed,8977,Middle Income,Suburban,3590.8,1224.22,538.62,1,-3089.3130784863242,1255.92,31755.38,1387.94,2235.42,0.1028404416841219,359.08000000000004,3300.31,5712.72,1.61,65,78,2178.69,3548.29
50,Entry-Level,Unemployed,3789,Low Income,Suburban,1515.6,503.82,227.34,1,5043.270427655216,1451.25,10663.94,495.6,1046.64,0.04344774972592295,378.9,712.65,2625.66,2.53,65,78,1054.3,2555.87
24,Late-Career,Employed,20000,High Income,Urban,10000.0,3500.14,1600.0,0,0.0,3911.61,84570.16,2228.0,2671.86,0.09826401522356977,800.0,2883.16,15900.14,3.13,65,80,3386.15,8855.13
46,Entry-Level,Employed,2862,Low Income,Urban,1431.0,235.12,228.96,1,899.626925276661,921.62,11104.94,419.19,547.73,0.05749426754461124,228.96,62.8,2124.04,2.96,65,87,528.56,1770.36
40,Late-Career,Employed,12345,High Income,Urban,6172.5,1989.49,987.6,2,1055.4035105303305,4977.98,45986.42,1473.24,1722.17,0.051559882065818394,987.6,564.16,10137.19,2.46,65,79,2362.05,7729.89
27,Mid-Career,Employed,5630,Middle Income,Urban,2815.0,999.86,450.4,2,2099.493224443457,308.9,19819.88,700.47,664.27,0.1237117322960641,225.20000000000002,1417.38,4490.46,3.37,65,81,759.46,3677.71
56,Entry-Level,Employed,2944,Low Income,Suburban,1177.6,541.73,176.64,0,0.0,602.62,5707.88,350.76,697.27,0.027312489923987167,235.51999999999998,217.71,2131.49,2.22,65,85,440.45,1174.03
22,Entry-Level,Unemployed,2862,Low Income,Rural,858.6,152.15,114.48,0,0.0,320.84,3510.78,174.76,1562.01,0.1370782960668431,143.1,351.59,1268.33,1.54,65,82,653.0,1709.94
46,Late-Career,Employed,20000,High Income,Urban,10000.0,2238.64,1600.0,4,-893.0505727177283,5827.57,49854.44,3041.89,3119.47,0.09885154357661263,1600.0,3717.19,15438.64,1.41,65,82,5924.96,11075.27
47,Mid-Career,Employed,11761,High Income,Suburban,4704.4,1247.69,705.66,2,764.1447839265206,3375.79,23688.44,1526.81,3576.44,0.050972495378373124,940.88,72.44,7598.63,1.91,65,83,1740.84,8681.54
26,Mid-Career,Employed,5787,Middle Income,Rural,1736.1,896.95,231.48,0,0.0,801.25,10782.88,732.61,2189.86,0.06068062647086883,231.48000000000002,1658.48,3096.01,2.91,65,89,1820.94,2627.17
51,Mid-Career,Employed,5002,Middle Income,Rural,1500.6,870.53,200.08,1,1143.5600653039644,1358.15,10065.78,594.06,1836.73,0.025087721686095375,400.16,545.93,2971.37,2.18,65,82,858.75,1771.06
31,Entry-Level,Employed,3971,Low Income,Urban,1985.5,892.82,317.68,1,5486.85655620585,564.0,13040.31,489.5,285.5,0.09064877222598357,317.68000000000006,794.55,3513.6800000000003,2.73,65,82,1034.82,1204.01
38,Entry-Level,Employed,2947,Low Income,Rural,884.1,369.12,117.88,4,3710.6763911802736,747.4,5843.1,318.44,1257.46,0.08470967539006138,235.76,467.45,1606.86,3.32,65,84,652.67,1494.57
38,Entry-Level,Employed,4132,Middle Income,Urban,2066.0,517.0,330.56,1,-618.5354291765161,785.83,9604.84,546.79,671.65,0.07274238080822455,330.56,624.14,3244.12,1.95,65,83,866.64,2008.02
33,Late-Career,Employed,16014,High Income,Urban,8007.0,3322.64,1281.12,2,4270.6583904324125,-8.18,39434.93,1503.04,1900.2,0.14035351520835365,1281.1200000000001,2473.23,13891.88,2.74,65,87,2860.89,8085.57
44,Mid-Career,Employed,2952,Low Income,Urban,1476.0,486.57,236.16,1,2764.665395614293,765.72,11041.66,365.23,388.04,0.04641556125563799,236.16,320.09,2434.89,2.77,65,88,592.74,1492.55
44,Entry-Level,Employed,5047,Middle Income,Urban,2523.5,1076.94,403.76,1,2089.0658875005192,1562.93,18467.39,662.33,380.47,0.0619825158495232,403.76,112.26,4407.96,2.07,65,79,830.0,3831.49
22,Entry-Level,Employed,5295,Middle Income,Urban,2647.5,870.69,423.6,0,0.0,964.07,17077.54,614.36,738.85,0.10486669650696497,211.8,1697.08,4153.59,3.18,65,78,1309.37,2795.48
50,Entry-Level,Employed,2887,Low Income,Urban,1443.5,266.02,230.96,0,0.0,448.78,9514.79,367.85,578.67,0.018389440026507293,230.96,136.88,2171.44,2.36,65,78,738.76,2077.75
22,Entry-Level,Unemployed,3112,Low Income,Urban,1556.0,259.37,248.96,0,0.0,569.95,11318.8,311.74,735.93,0.07244150624430903,155.6,677.11,2219.93,2.31,65,81,521.18,1890.98
47,Mid-Career,Employed,8357,Middle Income,Rural,2507.1,605.25,334.28,2,5356.505695096004,1840.68,14762.19,841.41,4068.96,0.062216727573844444,668.5600000000001,892.08,4115.1900000000005,3.56,65,79,985.93,3452.13
48,Mid-Career,Employed,8503,Middle Income,Rural,2550.9,1556.92,340.12,2,3816.271825556713,3464.57,21898.8,1060.62,2994.44,0.031470721771525094,680.24,642.95,5128.179999999999,2.76,65,83,1561.22,4687.45
22,Late-Career,Employed,18292,High Income,Urban,9146.0,3830.89,1463.36,0,0.0,1880.88,84630.21,2443.28,1408.47,0.11391169172671343,731.6800000000001,2246.51,15171.93,2.96,65,89,5477.04,14301.22
30,Mid-Career,Employed,13530,High Income,Rural,4059.0,3280.59,541.2,3,2052.709084697618,1268.49,43493.08,1116.26,4532.95,0.06497497528357857,1082.4,3914.35,8963.19,3.18,65,89,2862.92,9501.78
22,Entry-Level,Employed,3323,Low Income,Rural,996.9,638.53,132.92,2,8886.096670537243,296.55,7565.01,433.45,1121.2,0.09579051315858521,132.92000000000002,733.99,1901.27,2.17,65,86,856.25,2427.04
32,Mid-Career,Employed,5105,Middle Income,Suburban,2042.0,1062.56,306.3,1,4448.982120763455,802.35,16829.7,557.14,1137.0,0.16053419346379091,408.40000000000003,1237.3,3819.26,3.12,65,87,784.18,3194.32
31,Mid-Career,Employed,3362,Low Income,Urban,1681.0,406.8,268.96,2,7738.574601622994,361.44,8322.22,390.48,614.76,0.10333670004522574,268.96,587.43,2625.7200000000003,2.25,65,88,590.67,1608.42
44,Mid-Career,Employed,5307,Middle Income,Suburban,2122.8,489.2,318.42,2,5790.868164398371,2054.71,13718.96,494.66,1881.92,0.040242838527355176,424.56000000000006,921.6,3354.98,2.23,65,87,978.95,4224.41
50,Mid-Career,Employed,7400,Middle Income,Rural,2220.0,1424.53,296.0,1,3483.6041431114973,2597.04,23422.45,761.96,2697.51,0.032124485593712934,592.0,522.35,4532.53,2.36,65,85,1046.69,4691.03
51,Mid-Career,Employed,12883,High Income,Suburban,5153.2,2201.5,772.98,1,3602.8141395622347,3623.56,37021.14,1794.89,2960.43,0.03530042126826849,1030.64,1266.15,9158.32,2.19,65,81,2684.08,8884.57
28,Mid-Career,Unemployed,5947,Middle Income,Urban,2973.5,924.0,475.76,0,0.0,306.19,25290.19,717.55,856.19,0.08631494957559824,297.35,1008.53,4670.610000000001,2.91,65,89,946.04,3367.67
32,Mid-Career,Employed,8171,Middle Income,Suburban,3268.4,1383.91,490.26,3,-475.60923169299895,264.39,21711.96,917.97,2110.46,0.11507724323114311,653.6800000000001,1702.16,5796.250000000001,2.63,65,79,2021.89,3227.48
22,Entry-Level,Employed,3483,Low Income,Suburban,1393.2,578.73,208.98,1,3036.0945049364486,374.21,13077.9,409.85,892.24,0.09013331509987572,139.32000000000002,870.01,2320.23,2.25,65,78,712.14,2121.99
25,Entry-Level,Employed,4688,Middle Income,Suburban,1875.2,1004.13,281.28,1,5421.349105084394,428.66,14973.9,608.43,918.96,0.12157982805488315,187.52,627.49,3348.1299999999997,2.84,65,84,1284.72,3769.58
46,Entry-Level,Employed,6026,Middle Income,Urban,3013.0,1294.08,482.08,1,1800.7200103575926,1244.61,14974.78,776.21,460.63,0.09488991098719776,482.08000000000004,450.06,5271.24,2.36,65,87,699.8,4044.88
54,Mid-Career,Employed,5907,Middle Income,Urban,2953.5,1046.79,472.56,0,0.0,1817.93,21291.95,699.98,734.17,0.056018987915899814,472.56000000000006,1096.56,4945.410000000001,2.34,65,80,1024.54,3739.58
22,Entry-Level,Employed,3010,Low Income,Rural,903.0,578.79,120.4,0,0.0,689.83,6126.32,427.0,980.81,0.07722449361497488,120.4,879.0,1722.5900000000001,2.52,65,83,540.68,1267.26
27,Mid-Career,Employed,10632,High Income,Rural,3189.6,1868.08,425.28,1,1180.6391213750492,356.05,16983.16,1482.2,3666.84,0.07536140847781422,425.28000000000003,1939.4,5908.24,2.73,65,82,2372.64,8276.55
34,Late-Career,Employed,18409,High Income,Urban,9204.5,2336.87,1472.72,3,2097.3942713126708,9.25,71090.25,2361.28,3033.63,0.12836491913978185,1472.7200000000003,4304.11,14486.809999999998,2.69,65,82,3293.35,13845.15
38,Entry-Level,Employed,5346,Middle Income,Rural,1603.8,1004.13,213.84,5,964.1770190456818,1517.32,10799.45,647.36,1876.87,0.038973563715215404,427.68000000000006,1109.74,3249.45,2.32,65,89,1529.6,1511.11
25,Mid-Career,Employed,9251,Middle Income,Urban,4625.5,742.63,740.08,1,1355.6687866211862,750.99,32921.09,1231.74,1911.05,0.10855104226298085,370.04,2630.76,6478.25,2.92,65,79,1765.05,6377.06
40,Mid-Career,Unemployed,6422,Middle Income,Suburban,2568.8,1301.7,385.32,0,0.0,2408.1,16447.27,811.0,1355.18,0.059506047138300155,642.2,500.88,4898.0199999999995,2.39,65,86,993.67,3291.8
29,Entry-Level,Employed,4090,Middle Income,Suburban,1636.0,369.22,245.4,0,0.0,528.4,8063.92,577.57,1261.81,0.1269618032204093,163.60000000000002,657.81,2414.22,2.17,65,88,785.09,2428.44
34,Entry-Level,Unemployed,4608,Middle Income,Rural,1382.4,757.05,184.32,0,0.0,756.66,13760.92,635.86,1648.37,0.08176570059911027,460.8,503.92,2784.57,1.77,65,81,846.57,1969.28
41,Entry-Level,Unemployed,4320,Middle Income,Rural,1296.0,465.45,172.8,1,1169.045941819415,1436.31,7901.29,430.42,1955.33,0.08106242905047606,432.0,430.8,2366.25,2.99,65,87,1064.5,2454.26
35,Entry-Level,Employed,4007,Middle Income,Urban,2003.5,711.92,320.56,1,3252.91843812138,1394.41,14585.24,393.81,577.21,0.050110040523700446,320.56,756.74,3356.54,2.51,65,78,718.89,1542.53
29,Late-Career,Employed,20000,High Income,Rural,6000.0,2966.07,800.0,0,0.0,2428.76,47169.58,2119.5,8114.43,0.135189030974928,800.0,3573.51,10566.07,2.61,65,79,2479.6,8590.28
33,Late-Career,Employed,20000,High Income,Urban,10000.0,1405.24,1600.0,1,5357.731874073877,2770.46,60883.0,2790.46,4204.3,0.0842872212691995,1600.0,5257.12,14605.24,3.02,65,86,4177.52,12553.09
33,Mid-Career,Employed,11646,High Income,Suburban,4658.4,1991.87,698.76,1,5622.324593207233,2441.85,42213.47,1030.37,3266.6,0.1587905194586765,931.68,1874.29,8280.71,2.26,65,84,1950.21,5083.21
30,Late-Career,Employed,18243,High Income,Suburban,7297.2,2209.3,1094.58,4,4728.139964277894,2696.05,53252.65,2333.19,5308.73,0.10939725081080849,1459.44,5215.09,12060.52,1.81,65,87,2595.28,11207.34
31,Late-Career,Employed,14164,High Income,Suburban,5665.6,2748.63,849.84,3,3612.2691062055105,1376.18,39012.84,1802.38,3097.55,0.06871215214573788,1133.1200000000001,3442.74,10397.19,2.53,65,79,2848.79,8023.31
54,Entry-Level,Employed,3646,Low Income,Urban,1823.0,547.14,291.68,0,0.0,1366.36,14871.96,522.3,461.88,0.029800312812323114,291.68,204.2,2953.4999999999995,2.65,65,84,705.12,3308.0
41,Late-Career,Employed,20000,High Income,Rural,6000.0,3395.42,800.0,2,616.2505916175005,5209.91,36124.3,2472.14,7332.44,0.05694540110039688,1600.0,301.3,11795.42,2.37,65,81,3779.66,9059.61
31,Mid-Career,Employed,5049,Middle Income,Urban,2524.5,515.61,403.92,0,0.0,355.27,15955.19,470.24,1134.73,0.1130220546154953,403.92,1464.36,3847.9500000000003,3.24,65,87,1075.54,2522.31
43,Late-Career,Employed,16843,High Income,Urban,8421.5,2030.14,1347.44,0,0.0,7451.27,69044.1,1697.99,3345.93,0.051729374823813394,1347.44,1922.28,13146.52,1.26,65,79,2881.09,7453.48
30,Late-Career,Employed,13033,High Income,Suburban,5213.2,1656.08,781.98,2,4327.292694065683,1470.77,37309.02,1255.86,4125.88,0.10222821070570434,1042.64,3100.99,8693.9,3.06,65,89,2682.15,9963.2
49,Entry-Level,Employed,3528,Low Income,Urban,1764.0,680.32,282.24,3,5119.131145246794,1048.11,14862.22,385.4,416.04,0.07219818245309288,282.24,222.81,3008.8,2.9,65,81,601.6,1996.75
39,Entry-Level,Unemployed,4778,Middle Income,Rural,1433.4,1117.43,191.12,2,1889.4390061893412,1499.97,13601.94,555.88,1480.17,0.05711024317111141,477.8,1361.93,3219.75,2.73,65,82,1152.04,2512.24
33,Entry-Level,Unemployed,3691,Low Income,Urban,1845.5,405.06,295.28,2,5076.025054631924,531.05,14048.23,356.89,788.27,0.06531617898546904,369.1,921.45,2914.94,0.83,65,81,733.82,2456.53
